年 / 周,真实运维次数,预测运维次数
24week1,22,28
24week2,29,30
24week3,24,24
24week4,34,28
24week5,25,20
24week6,38,19
24week7,12,21
24week8,33,28
24week9,39,29
24week10,23,28
